trial_id,status,val_accuracy,hw_val_accuracy,float_val_accuracy,quant_gap,deployable,weight_clip_frac,min_threshold,feasible,epochs_run,stopped_early,synops_per_sample,neurons,connections,params,depth,channels,kernel_size,stride,downsample_mode,resize_to,T,tau,trainable_tau,trainable_threshold,fc_layers,final_reduction,dropout_rate,norm,tdbn_alpha,optimizer,lr,weight_decay,scheduler,label_smoothing,grad_clip
4b4eec07,pruned_before_deploy,,,0.5852272727272727,,,,,,8,False,,,,,2,64,5,2,stride,32,8,2,False,False,0,flatten,0.18760999729375322,tdbn,0.9365039044569055,adam,0.0021207511887851613,6.40182945023694e-06,onecycle,0.06077103754000798,1.0
ec9155fe,pruned_before_deploy,,,0.7670454545454546,,,,,,24,False,,,,,2,32,5,2,stride,32,16,6,False,False,0,flatten,0.14642045193240402,tdbn,0.9282251740251743,adam,0.002058358935591006,2.9791904656460163e-05,step,0.13489957471917216,1.0
4cd14d3a,deployed,0.7784090909090909,0.7784090909090909,0.7102272727272727,-0.06818181818181823,True,0.0,0.050000011920928955,,0,False,8888169.319444444,,,,2,32,5,2,stride,32,16,4,False,False,0,flatten,0.1385501786218513,tdbn,0.9282831387049688,adamw,0.003725380592984945,0.004088761751074126,step,0.011332747762153247,1.0
30d5dd28,pruned_before_deploy,,,0.7329545454545454,,,,,,24,False,,,,,4,64,5,2,stride,64,8,32,True,False,0,flatten,0.39869597651651933,tdbn,1.052242084978138,adamw,0.0017191128515041296,0.0005945464338772388,none,0.030959529331102742,0.0
2b3704e8,deployed,0.8181818181818182,0.8181818181818182,0.6818181818181818,-0.13636363636363646,True,0.0,0.19964253902435303,,0,False,11365283.6171875,,,,2,32,5,2,stride,32,16,2,False,False,0,flatten,0.1334548118266452,tdbn,0.8796869048528131,adam,0.0020670921060404537,3.217293246039056e-05,onecycle,0.13617047182794367,1.0
11db5157,pruned_before_deploy,,,0.7215909090909091,,,,,,24,False,,,,,4,64,7,2,stride,64,8,32,True,False,0,flatten,0.40895132293445313,tdbn,1.074607405709488,adamw,0.0005869781818399436,0.00038247076243110554,none,0.02729620071532428,0.0
4e620900,deployed,0.8011363636363636,0.8011363636363636,0.7329545454545454,-0.06818181818181823,True,0.0,0.050000011920928955,,0,False,8944666.088541668,,,,2,32,5,2,stride,32,16,4,False,False,0,flatten,0.13590135214353827,tdbn,0.9013829358737849,adam,0.00376006316592902,2.7984661532462027e-05,step,0.13343077688765853,1.0
0b25209d,deployed,0.8181818181818182,0.8181818181818182,0.7215909090909091,-0.09659090909090917,True,0.0,0.050000011920928955,,0,False,10468989.960069444,,,,2,32,5,2,stride,32,16,2,False,False,0,flatten,0.24864251681664726,tdbn,0.9007681998599121,adam,0.0021781331008966943,2.803939789246051e-05,step,0.1363424409484873,1.0
c54a2591,deployed,0.8125,0.8125,0.6761363636363636,-0.13636363636363635,True,0.0,0.14696383476257324,,0,False,10936324.5234375,,,,2,32,5,2,stride,32,16,2,False,False,0,flatten,0.18612860957093447,tdbn,0.8813321396786059,adam,0.0021436583167797774,2.9779550467049388e-05,onecycle,0.1308840233446305,1.0
fc903610,deployed,0.8125,0.8125,0.7386363636363636,-0.07386363636363635,True,0.0,0.050000011920928955,,0,False,10892641.598090278,,,,2,32,5,2,stride,32,16,2,False,False,0,flatten,0.1361694962451699,tdbn,0.9202974383417307,adam,0.00206047685788032,3.1046545674851943e-05,step,0.1327786454455454,1.0
d32b905f,deployed,0.8068181818181818,0.8068181818181818,0.7215909090909091,-0.08522727272727271,True,0.0,0.18488532304763794,,0,False,10690647.359375,,,,2,32,5,2,stride,32,8,2,False,False,0,flatten,0.13591146097960383,tdbn,0.8815945210532325,adam,0.0020112563305059203,3.5758234656783464e-05,step,0.03803306555009198,1.0
86d9d4ec,deployed,0.8295454545454546,0.8295454545454546,0.7386363636363636,-0.09090909090909094,True,0.0,0.050000011920928955,,0,False,10482116.330729168,,,,2,32,5,2,stride,32,8,2,False,False,0,flatten,0.13450662809204883,tdbn,0.9169001450418781,adam,0.0022340232245911533,2.3163586020662594e-05,step,0.061581586518544756,1.0
de654d62,deployed,0.8238636363636364,0.8238636363636364,0.7102272727272727,-0.11363636363636365,True,0.0,0.050000011920928955,,0,False,10546639.190104168,,,,2,32,5,2,stride,32,8,2,False,False,0,flatten,0.13539977082128107,tdbn,0.9155997716487498,adam,0.0020920184300945144,3.168005078444038e-05,step,0.040774283477218246,1.0
197ea54d,deployed,0.8920454545454546,0.8920454545454546,0.6875,-0.20454545454545459,True,0.0,0.21967774629592896,,0,False,353448030.2597656,,,,2,64,7,,pool,32,8,8,False,False,0,flatten,0.2930800528888514,bn,,adam,0.0012139981139166372,1.2075161959404902e-06,onecycle,0.17554355716434056,5.0
bbfbea59,pruned_before_deploy,,,0.625,,,,,,8,False,,,,,2,32,5,,pool,32,16,4,False,False,0,flatten,0.12580381107952715,tdbn,1.2628669110464625,adamw,0.0026714931746868453,0.009063105780920953,step,0.1506709820813706,1.0
e2839865,deployed,0.8295454545454546,0.8295454545454546,0.7386363636363636,-0.09090909090909094,True,0.0,0.4809988737106323,,0,False,37004615.99045139,,,,2,64,5,2,stride,32,16,4,True,False,0,flatten,0.15925023890206336,tdbn,0.8954088754404436,adamw,0.0007791364042182167,0.002554110237297974,step,0.016194875521613222,1.0
aa2636af,pruned_before_deploy,,,0.17045454545454544,,,,,,8,False,,,,,2,32,5,,pool,32,16,4,False,False,0,flatten,0.12684383832298965,tdbn,1.764951360977988,adamw,0.0040685522998493125,0.008835903598548567,step,0.15514764585730703,1.0
c0e83f45,pruned_before_deploy,,,0.7215909090909091,,,,,,24,False,,,,,4,32,5,,pool,64,8,8,True,True,1,flatten,0.10261027380263803,tdbn,1.460128866669567,adam,0.0016732770765176444,1.2765398664780787e-07,step,0.1309839368095924,5.0
c1bebdc7,pruned_before_deploy,,,0.6306818181818182,,,,,,8,False,,,,,2,32,5,,pool,32,8,2,False,False,0,flatten,0.2810863176193587,bn,,adam,0.0027432560157700492,1.0139147197533162e-07,onecycle,0.15198314002980118,1.0
423832cb,pruned_before_deploy,,,0.5,,,,,,8,False,,,,,2,32,5,,pool,32,16,4,False,False,0,flatten,0.12338896035032476,tdbn,1.9956737931374264,adamw,0.0038725240546876667,0.006620362034337122,step,0.1534151032681596,1.0
22c08248,pruned_before_deploy,,,0.4772727272727273,,,,,,8,False,,,,,2,64,5,,pool,32,8,2,False,False,0,flatten,0.18433320031263611,tdbn,1.1898580024962018,adamw,0.001961081975749462,1.9686751023349742e-05,onecycle,0.06485493685072888,1.0
0761b769,pruned_before_deploy,,,0.23295454545454544,,,,,,8,False,,,,,2,64,7,,pool,32,8,2,False,False,0,flatten,0.2715113679274056,tdbn,1.7909100488223184,adamw,0.0029070105327220733,2.069629896125109e-05,step,0.09303612411069463,1.0
f34d08c3,deployed,0.8068181818181818,0.8068181818181818,0.6761363636363636,-0.13068181818181812,True,0.0,0.1688326597213745,,0,False,35016139.464409724,,,,2,64,5,2,stride,32,8,6,False,False,0,flatten,0.17642978879026142,tdbn,0.9411729231148422,adamw,0.0019566880951196364,0.0017057782929998542,onecycle,0.03972841169333133,1.0
c035d73a,deployed,0.8125,0.8125,0.6818181818181818,-0.13068181818181823,True,0.0,0.348904013633728,,0,False,35979750.86631945,,,,2,64,5,2,stride,32,8,2,False,False,0,flatten,0.18966779921604832,tdbn,0.9434209591194866,adam,0.0020362981861910654,0.0005679105615234148,onecycle,0.09192974811521336,1.0
2726c519,pruned_before_deploy,,,0.6306818181818182,,,,,,8,False,,,,,2,64,5,,pool,32,16,2,False,False,0,flatten,0.27434340886214525,tdbn,1.7836900956042,adamw,0.0028299540645769588,0.00027465309407207004,step,0.09137696471044576,1.0
d8d49c21,pruned_before_deploy,,,0.6136363636363636,,,,,,8,False,,,,,2,64,5,2,stride,32,8,2,False,False,0,flatten,0.16504612684245026,tdbn,0.717565171284232,adam,0.002322943306979358,5.059235914335838e-07,onecycle,0.19017419029947852,1.0
80642353,pruned_before_deploy,,,0.6136363636363636,,,,,,8,False,,,,,2,64,5,2,stride,32,8,2,False,False,0,flatten,0.16288369358558386,tdbn,0.7007377565398933,adam,0.0022949550342899784,8.182644220782919e-05,onecycle,0.18444329322326322,1.0
dd0680e6,pruned_before_deploy,,,0.5113636363636364,,,,,,8,False,,,,,2,64,5,2,stride,32,8,2,False,False,0,flatten,0.20560342533229423,tdbn,0.9843689865081581,adam,0.0023177440108999576,7.81215014046236e-05,onecycle,0.18236940920381237,1.0
c2c8950d,pruned_before_deploy,,,0.6363636363636364,,,,,,8,False,,,,,2,64,5,2,stride,32,8,2,False,False,0,flatten,0.2044128206250373,tdbn,0.6834668106281365,adam,0.002234846883417148,9.908700482464006e-05,onecycle,0.18159479623844393,1.0
44d58752,pruned_before_deploy,,,0.5284090909090909,,,,,,8,False,,,,,2,64,5,2,stride,32,8,2,False,False,0,flatten,0.15823566379130077,tdbn,0.6750602172889575,adam,0.002205489424307504,0.00010406620379871197,onecycle,0.18775357136020637,1.0
133f832d,pruned_before_deploy,,,0.6477272727272727,,,,,,8,False,,,,,2,64,5,2,stride,32,8,2,False,False,0,flatten,0.1682411788665666,tdbn,0.6784105936261694,adam,0.002328452225099681,7.237831098484438e-07,onecycle,0.19312991226494222,1.0
afc0f34a,pruned_before_deploy,,,0.75,,,,,,24,False,,,,,2,32,7,2,stride,64,8,8,False,True,0,flatten,0.28906251663815696,bn,,adam,0.0017839373166155623,0.00045352765966197024,none,0.03049898441481658,5.0
f6cf3708,pruned_before_deploy,,,0.5965909090909091,,,,,,8,False,,,,,2,64,5,2,stride,32,8,2,False,False,0,flatten,0.2109773309348889,tdbn,0.6480225960842836,adam,0.002223637202876952,9.558617590015268e-05,onecycle,0.15994944116657248,1.0
9880b979,pruned_before_deploy,,,0.75,,,,,,24,False,,,,,2,32,7,2,stride,64,16,8,False,True,1,flatten,0.33561385571515306,bn,,adam,0.0014555729913869157,1.58857644304942e-05,cosine,0.1323678324821868,5.0
33adc2fb,pruned_before_deploy,,,0.7670454545454546,,,,,,24,False,,,,,2,32,5,,pool,32,8,2,False,False,0,flatten,0.2770039227367868,bn,,adam,0.0022520893191486247,9.917351915232477e-05,onecycle,0.16076449349622204,1.0
