trial_id,status,val_accuracy,hw_val_accuracy,float_val_accuracy,quant_gap,deployable,weight_clip_frac,min_threshold,feasible,epochs_run,stopped_early,synops_per_sample,neurons,connections,params,depth,channels,kernel_size,stride,downsample_mode,resize_to,T,tau,trainable_tau,trainable_threshold,fc_layers,final_reduction,dropout_rate,norm,tdbn_alpha,optimizer,lr,weight_decay,scheduler,label_smoothing,grad_clip
31fefbe5,pruned_before_deploy,,,0.4659090909090909,,,,,,8,False,,,,,4,32,5,2,stride,32,16,32,True,False,1,flatten,0.11717667699276405,tdbn,0.543657141580564,adam,0.0011962553342686898,0.00012203208377748996,cosine,0.04934035857050786,0.0
978ce605,pruned_before_deploy,,,0.5795454545454546,,,,,,8,False,,,,,4,32,5,2,stride,64,16,32,False,True,1,flatten,0.10059118529346633,tdbn,0.801481862008539,adam,0.0010641277450179417,0.00011301954325960189,cosine,0.066272643883511,0.0
8258b0f0,pruned_before_deploy,,,0.3352272727272727,,,,,,8,False,,,,,4,32,5,,pool,64,8,2,True,True,1,flatten,0.21797177509029453,bn,,adamw,0.0008503522578720594,1.080748717966634e-05,none,0.05136116692588835,1.0
c83256f1,pruned_before_deploy,,,0.625,,,,,,8,False,,,,,3,32,5,2,stride,64,16,32,False,True,1,flatten,0.11209694068266213,tdbn,0.7990073690934784,adam,0.001146664899420581,4.254895704100183e-05,cosine,0.11173866458228468,5.0
9d2a56e7,pruned_before_deploy,,,0.5852272727272727,,,,,,8,False,,,,,2,32,7,,pool,32,16,6,True,True,1,flatten,0.12831594828352125,tdbn,1.9149241681585916,adamw,0.003017586141916005,8.888071182417895e-05,cosine,0.056169897290396564,0.0
cdf34825,pruned_before_deploy,,,0.3977272727272727,,,,,,8,False,,,,,3,32,7,2,stride,64,16,3,False,True,1,flatten,0.3436887870763198,bn,,adam,0.0013132137903065662,1.3555139425791567e-05,cosine,0.07127961343394787,5.0
a1c7c418,pruned_before_deploy,,,0.48295454545454547,,,,,,8,False,,,,,3,64,7,,pool,64,16,63,True,False,1,flatten,0.3536363308819195,bn,,adam,0.0008707220019425946,0.0002001974148313803,none,0.08500209605120901,1.0
045be978,pruned_before_deploy,,,0.4318181818181818,,,,,,8,False,,,,,3,32,7,2,stride,64,16,4,False,True,1,flatten,0.32618530785359223,bn,,adam,0.0013906466396798186,1.1036006821886398e-05,cosine,0.07431095795838352,5.0
96cbff1c,pruned_before_deploy,,,0.5795454545454546,,,,,,8,False,,,,,3,64,7,2,stride,64,16,32,True,False,1,flatten,0.10377697730349726,tdbn,0.5878533239749089,adamw,0.0012980550917542535,0.0001869900148245138,onecycle,0.004632461727931775,0.0
781a6535,pruned_before_deploy,,,0.4943181818181818,,,,,,8,False,,,,,3,64,7,2,stride,64,16,32,True,False,1,flatten,0.11359093513583929,tdbn,0.5174901510847156,adamw,0.0011671083505887805,0.0002158150430269863,onecycle,0.004074283437800377,0.0
f64d412d,pruned_before_deploy,,,0.5681818181818182,,,,,,8,False,,,,,3,64,7,2,stride,64,16,32,True,True,1,flatten,0.11467101452757789,tdbn,0.6261764254958875,adamw,0.001485149764379399,0.00016985532439872818,onecycle,0.04779135039245952,0.0
c23c727f,pruned_before_deploy,,,0.5113636363636364,,,,,,8,False,,,,,3,32,7,2,stride,64,16,32,False,True,1,flatten,0.33536748648947834,bn,,adam,0.0012180144429687777,1.533914415255475e-05,cosine,0.13021861164887846,5.0
d731b663,pruned_before_deploy,,,0.5227272727272727,,,,,,8,False,,,,,3,32,7,2,stride,64,16,16,False,True,1,flatten,0.33383575409795074,bn,,adam,0.0006876898711759052,1.8255251829398562e-05,cosine,0.12199864782396166,5.0
1e0c59a0,pruned_before_deploy,,,0.4602272727272727,,,,,,8,False,,,,,3,32,7,2,stride,64,16,8,False,True,1,flatten,0.3314193680545859,bn,,adam,0.0006806466323255949,1.3735533047107794e-05,cosine,0.12275049331974956,5.0
5e1e98a6,pruned_before_deploy,,,0.4659090909090909,,,,,,8,False,,,,,3,32,7,2,stride,64,16,16,False,True,1,flatten,0.33264466530391495,bn,,adam,0.0006835325951280074,1.5783277655525736e-05,cosine,0.1114790487866304,5.0
71b2760d,pruned_before_deploy,,,0.44886363636363635,,,,,,8,False,,,,,3,32,7,2,stride,64,16,8,False,True,1,flatten,0.35122833470478654,bn,,adam,0.0006591567848706649,1.3498457929445889e-05,cosine,0.12442362677102674,5.0
967ab7cb,deployed,,,0.0,,False,,,False,0,False,,,,,2,64,5,2,stride,64,8,32,True,False,0,flatten,0.30010265770870204,tdbn,1.0868339311454829,adamw,0.0009642649855730607,0.0003486684951506113,none,0.10034632195790974,0.0
658d1aa4,deployed,,,0.0,,False,,,False,0,False,,,,,2,64,5,2,stride,64,8,32,True,False,0,flatten,0.3005174906194845,tdbn,1.0012808623498461,adamw,0.0009599885636252475,0.00036897899897855716,none,0.02640439622999355,0.0
